qid,question_text,option1,option2,option3,option4,correct_option,question_difficulty,subject_id,subject_name,
160,In how many different ways can the letters of the word 'MATHEMATICS' be arranged so that the vowels always come together?,10080,4989600,120960,None of these,c,Normal,40,Aptitude,
161,In how many different ways can the letters of the word 'OPTICAL' be arranged so that the vowels always come together?,120,720,4320,2160,b,Normal,40,Aptitude,
162,"A and B together have Rs. 1210. If 4/15 of A's amount is equal to 2/5 of B's amount, how much amount does B have?",Rs. 460,Rs. 484,Rs. 550,Rs. 664,b,Easy,40,Aptitude,
163,Two numbers are respectively 20% and 50% more than a third number. The ratio of the two numbers is:,02:05,03:05,04:05,06:07,c,Easy,40,Aptitude,
164,"A sum of money is to be distributed among A, B, C, D in the proportion of 5 : 2 : 4 : 3. If C gets Rs. 1000 more than D, what is B's share? ",Rs. 500,Rs. 1500,Rs. 2000,None of these,c,Easy,40,Aptitude,
165,"Seats for Mathematics, Physics and Biology in a school are in the ratio 5 : 7 : 8. There is a proposal to increase these seats by 40%, 50% and 75% respectively. What will be the ratio of increased seats?",02:03:04,06:07:08,06:08:09,None of these,a,Easy,40,Aptitude,
166,"In a mixture 60 litres, the ratio of milk and water 2 : 1. If this ratio is to be 1 : 2, then the quantity of water to be further added is:",20 litres,30 litres,40 litres,60 litres,d,Easy,40,Aptitude,
167,"The ratio of the number of boys and girls in a college is 7 : 8. If the percentage increase in the number of boys and girls be 20% and 10% respectively, what will be the new ratio?",08:09,17:18,21:22,20:19,c,Easy,40,Aptitude,
168,"Salaries of Ravi and Sumit are in the ratio 2 : 3. If the salary of each is increased by Rs. 4000, the new ratio becomes 40 : 57. What is Sumit's salary?","Rs. 17,000","Rs. 20,000","Rs. 25,500","Rs. 38,000",d,Easy,40,Aptitude,
169,"If 0.75 : x :: 5 : 8, then x is equal to:",1.12,1.2,1.25,1.3,b,Hard,40,Aptitude,
170,"The sum of three numbers is 98. If the ratio of the first to second is 2 :3 and that of the second to the third is 5 : 8, then the second number is:",20,30,48,58,b,Easy,40,Aptitude,
171,"If Rs. 782 be divided into three parts, proportional to 1/2 : 2/3 : 3/4 , then the first part is:",Rs. 182,Rs.190,Rs. 196,Rs. 204,d,Hard,40,Aptitude,
172,"The salaries A, B, C are in the ratio 2 : 3 : 5. If the increments of 15%, 10% and 20% are allowed respectively in their salaries, then what will be new ratio of their salaries?",03:03:10,10:11:20,"
23:33:60",20 : 60 : 63 ,c,Hard,40,Aptitude,
173,"If 40% of a number is equal to two-third of another number, what is the ratio of first number to the second number?",02:05,03:07,05:03,07:03,c,Hard,40,Aptitude,
174,"The fourth proportional to 5, 8, 15 is:",18,24,19,20,b,Hard,40,Aptitude,
175,"Two number are in the ratio 3 : 5. If 9 is subtracted from each, the new numbers are in the ratio 12 : 23. The smaller number is:",27,33,49,55,b,Hard,40,Aptitude,
176,"In a bag, there are coins of 25 p, 10 p and 5 p in the ratio of 1 : 2 : 3. If there is Rs. 30 in all, how many 5 p coins are there?",50,100,150,200,c,Easy,40,Aptitude,
177,"It was Sunday on Jan 1, 2006. What was the day of the week Jan 1, 2010?",Sunday,Saturday,Friday,Wednesday,c,Easy,40,Aptitude,
178,"What was the day of the week on 28th May, 2006?",Thursday,Friday,Saturday,Sunday,d,Easy,40,Aptitude,
179,"What was the day of the week on 17th June, 1998?",Monday,Tuesday,Wednesday,Thursday,c,Normal,40,Aptitude,
180,"What will be the day of the week 15th August, 2010?",Sunday,Monday,Tuesday,Friday,a,Normal,40,Aptitude,
181,"Today is Monday. After 61 days, it will be:",Wednesday,Saturday,Tuesday,Thursday,b,Easy,40,Aptitude,
182,"If 6th March, 2005 is Monday, what was the day of the week on 6th March, 2004?",Sunday,Saturday,Tuesday,Wednesday,a,Easy,40,Aptitude,
183,"On what dates of April, 2001 did Wednesday fall?","1st, 8th, 15th, 22nd, 29th","2nd, 9th, 16th, 23rd, 30th","3rd, 10th, 17th, 24th","4th, 11th, 18th, 25th",d,Easy,40,Aptitude,
184,How many days are there in x weeks x days?,7x2,8x,14x,7,b,Normal,40,Aptitude,
185,The last day of a century cannot be,Monday,Wednesday,Tuesday,Friday,c,Normal,40,Aptitude,
186,"On 8th Feb, 2005 it was Tuesday. What was the day of the week on 8th Feb, 2004?",Tuesday,Monday,Sunday,Wednesday,c,Normal,40,Aptitude,
187,The calendar for the year 2007 will be the same for the year:,2014,2016,2017,2018,c,Easy,40,Aptitude,
188,Which of the following is not a leap year?,700,800,1200,2000,a,Easy,40,Aptitude,
189,"On 8th Dec, 2007 Saturday falls. What day of the week was it on 8th Dec, 2006?",Sunday,Thursday,Tuesday,Friday,d,Normal,40,Aptitude,
190,"January 1, 2008 is Tuesday. What day of the week lies on Jan 1, 2009?",Monday,Wednesday,Thursday,Sunday,c,Normal,40,Aptitude,
191,"January 1, 2007 was Monday. What day of the week lies on Jan. 1, 2008?",Monday,Tuesday,Wednesday,Sunday,b,Normal,40,Aptitude,
192,The cube root of .000216 is:,0.6,0.06,77,87,b,Hard,40,Aptitude,
193,What should come in place of both x in the equation x/(?128) = (?162)/x.,12,14,144,196,a,Hard,40,Aptitude,
194,"The least perfect square, which is divisible by each of 21, 36 and 66 is:",213444,214344,214434,231444,a,Hard,40,Aptitude,
195,?(1.5625) = ?,1.05,1.25,1.45,1.55,b,Easy,40,Aptitude,
196,"If 3(?5) + ?(125) = 17.88, then what will be the value of (?80) + 6(?5) ?",13.41,20.46,21.66,22.35,d,Hard,40,Aptitude,
197,"If a = 0.1039, then the value of A group of students decided to collect as many paise from each member of group as is the number of members. If the total collection amounts to Rs. 59.29, the number of the member is the group is:",57,67,77,87,c,Hard,40,Aptitude,
198,The square root of (7 + 3?5) (7 - 3?5) is:,?5,2,4,3?5,b,Easy,40,Aptitude,
199,?(0.0169 x )? = 1.3,60,80,100,120,c,Hard,40,Aptitude,
200,How many two-digit numbers satisfy this property.: The last digit (unit's digit) of the square of the two-digit number is 8 ?,1,2,3,None of these,d,Easy,40,Aptitude,
